version,created_at,stage,f1_score,accuracy,negative_recall,run_id
1,2025-12-18 22:50:00.585,Staging,0.8667920211470785,0,0.7820451272203552,c938e0221b954ebaa2f807a390f22305
10,2025-12-19 21:31:17.879,Staging,0.8667920211470785,0,0.7820451272203552,08301e24d9f449c1b73c6752303608b9
11,2025-12-19 22:35:38.970,Archived,0.8667920211470785,0,0.7820451272203552,a6651b9156a7491584cc4ba49dbb56c5
13,2025-12-19 22:56:14.065,Archived,0.8667920211470785,0,0.7820451272203552,a0b1cf15f8714a0e9f5b6b480cf0fb46
14,2025-12-19 23:40:01.281,Archived,0.8667920211470785,0,0.7820451272203552,188fe17f851d4a63b338bc2fa5ad31d6
15,2026-01-03 00:51:14.613,Archived,0.8667920211470785,0,0.7820451272203552,9ef0bfc04e784955a0c20a1a25c9616b
16,2026-01-03 01:35:22.226,Archived,0.8667920211470785,0,0.7820451272203552,18afcc361a9e4eb5be4ff8b423d7e3c9
17,2026-01-03 01:46:55.052,Archived,0.8670266183537312,0,0.7820451272203552,70d121b072db47e182c3c0478d5dc41f
18,2026-01-10 02:55:36.081,Archived,0.8667920211470785,0,0.7820451272203552,dc2ff91bd32443879f32c897dc94ad2f
19,2026-01-10 03:05:52.223,Archived,0.8667920211470785,0,0.7820451272203552,a85683a6160a49fd9d74a3c69c151912
2,2025-12-19 00:09:59.132,Staging,0.8667920211470785,0,0.7820451272203552,e78192619ee543b585cb5ab2cab9ec5b
20,2026-01-10 03:25:07.883,Archived,0.8667920211470785,0,0.7820451272203552,c81f9e1a14f2487d91b3eb86d9f5d05a
21,2026-01-11 17:26:21.592,Archived,0.8667920211470785,0,0.7820451272203552,3d4454647398419b865737089d050cdb
22,2026-01-11 17:42:27.194,Archived,0.8667920211470785,0,0.7820451272203552,8f9f2b4030434436b654915d56b0fc09
23,2026-01-11 20:45:58.287,Archived,0.8667920211470785,0,0.7820451272203552,b7d3cdcf909f4f38889db38817f35e17
24,2026-01-20 17:38:17.047,Archived,0.8667920211470785,0,0.7820451272203552,9e7e22bbfbc34a6dba09c7bf4789e56e
25,2026-01-20 18:39:42.717,Archived,0.8667920211470785,0,0.7820451272203552,a1fba2cf24134cee885a085279ab2fcd
26,2026-01-20 19:13:01.456,Archived,0.8667920211470785,0,0.7820451272203552,d94d980d72624c778efcf716e40468bb
27,2026-01-20 19:41:32.560,Archived,0.8667920211470785,0,0.7820451272203552,251b581ae8cf4c7a921c43c232c1ec7c
28,2026-01-20 20:17:14.801,None,0.8667920211470785,0,0.7820451272203552,d7d97177374b4639bf679c2d4acbcea1
29,2026-01-20 20:21:11.920,None,0.8667920211470785,0,0.7820451272203552,d7d97177374b4639bf679c2d4acbcea1
3,2025-12-19 00:33:52.592,Staging,0.8667920211470785,0,0.7820451272203552,5c8763a02b2d45a48bc4702aab63b1d5
30,2026-01-20 20:23:20.804,None,0.8667920211470785,0,0.7820451272203552,d7d97177374b4639bf679c2d4acbcea1
31,2026-01-20 20:25:36.158,None,0.8667920211470785,0,0.7820451272203552,d7d97177374b4639bf679c2d4acbcea1
32,2026-01-20 20:28:11.204,None,0.8667920211470785,0,0.7820451272203552,d7d97177374b4639bf679c2d4acbcea1
33,2026-01-20 20:31:14.959,None,0.8667920211470785,0,0.7820451272203552,d7d97177374b4639bf679c2d4acbcea1
34,2026-01-20 20:50:58.847,Archived,0.8667920211470785,0,0.7820451272203552,634769a7a6664d86af5e94fff33bd79a
35,2026-01-21 00:53:57.665,Staging,0.8667920211470785,0,0.7820451272203552,44f7e8697d8341e09477a98635ded766
36,2026-01-21 01:16:30.010,Archived,0.8667920211470785,0,0.7820451272203552,deb63034990c465fb533cfc0e00e2507
37,2026-01-21 11:08:58.686,Staging,0.8667920211470785,0,0.7820451272203552,e89f2f234d4a42159cf5a6f0db4e7a17
38,2026-01-21 11:12:23.244,Archived,0.8667920211470785,0,0.7820451272203552,9c82776a57854806bff119ab607d2b6c
39,2026-01-21 11:56:10.127,Archived,0.8667920211470785,0,0.7820451272203552,5463fd0755714a40bbbe55cf80badfc5
4,2025-12-19 01:00:10.029,Staging,0.8667920211470785,0,0.7820451272203552,8187266e417e4a118792fa9ef38077b8
40,2026-01-21 12:48:01.915,Archived,0.8667920211470785,0,0.7820451272203552,4b89f1fa77054f38ac7a0cb1b1b2a261
41,2026-01-21 13:14:41.070,Archived,0.8667920211470785,0,0.7820451272203552,17473cf1b23b4397981e663397ebf7e1
42,2026-01-21 13:34:24.199,Production,0.8667920211470785,0,0.7820451272203552,dcf95021ea10478098f3aad5b977b3e3
5,2025-12-19 01:51:17.298,Staging,0.8667920211470785,0,0.7820451272203552,7290e367df1743c5b9fc1842b8e77f16
6,2025-12-19 20:12:25.729,Staging,0.8667920211470785,0,0.7820451272203552,5303f92c7bd643c7b128b1707ce0cbfa
7,2025-12-19 20:39:07.824,Staging,0.8667920211470785,0,0.7820451272203552,e0ce643434d84b2bb7e0f884627f75b6
8,2025-12-19 21:19:44.470,Staging,0.8667920211470785,0,0.7820451272203552,e0ce643434d84b2bb7e0f884627f75b6
9,2025-12-19 21:24:56.763,Staging,0.8667920211470785,0,0.7820451272203552,76d9d0bbb2e148e99a90d778767646d9
